mos,fr
"Tẽng-n-ned pa rat sãan, bɩ a rig a ma.",L'autochtone xénophobe doit d'abord chasser sa mère. (Proverbe: il faut cultiver l'hospitalité envers tout étranger. chacun est un étranger même dans son propre village car ses grands parents y sont arrivés à un moment donné dans l'histoire)
Tẽn-peelem gomd ka soond ye.,"On ne cache pas une question qui concerne toute la communauté. (Proverbe, sens: il faut la transparence pour une bonne gouvernance)"
Zĩnd tẽn-sʋka.,Assis-toi au milieu.
"Bi-bɛɛg sã n be yaanga, a to n be tẽn-taoore.","S'il y a un enfant téméraire à l'est, il y a un autre à l'ouest. (Proverbe: toute homme, tout communauté doit cultiver la modestie, l'humilité quelles que soient les compétences imbattables, les renommés qu'il a.)"
Metã saasa roogã n tẽnes tɩ ya neere.,"Le maçon a rendu le mur de la maison lisse, c'est joli."
Wĩn-goabg zĩ-kʋʋdgẽ.,Pôle sud.
Tẽng-n-bag kõn zoe wɩdg n pʋʋs kʋʋr ye.,"Le devin du village ne fuira pas les critiques pour s'abstenir de présenter ses condoléances. (Proverbe: aucune personne n'est parfaite. Par conséquent, ses œuvres souffriront par moment de l'imperfection)"
Zĩig sobga rabʋr tɩ tẽng-n-dãmb zɩ taaba?,"Il fait nuit depuis quand pour que des connaissances ne se reconnaissent plus ? (proverbe disant: quand quelqu'un est connu pour le bien ou pour le mal dont il est capable, il lui est difficile de se faire passer pour quelqu'un 'autre. Il sera considéré et traité comme tel.)"
"Tẽng-rãmb sã n gomda, sãan reesda Woo! Ayɛ!","Quand les autochtones parlent, l'étranger répond par des oui ou par des non. (Proverbe: l'étranger ne doit pas s'ingérer dans les affaires des autochtones, il doit observer la prudence, éviter les jugements infondés etc.)"
A zĩnda tẽnga.,Assis-toi par terre (au sol).
A yii tẽngã satmẽ n na n wa n kelg a Salmo yam vẽenem goamã.,Elle est venue des extrémités de la terre pour entendre la sagesse de Salomon.
Tẽngend ka be maam ne foom sʋk ye.,Il n'y a pas de familiarité entre moi et toi.
Ges rʋkã tẽngr tɩ sʋʋgã bee be.,"Regarde sous la marmite, il y en a un couteau."
"Bi-kãngã zirẽ wã, la a tẽnkãnbã yaa wʋsgo.",Les mensonges et les actes de calomnie de cet enfant sont nombreuses.
A wudgda tẽnn.,Il court à toute allure.
Yãk yamdã n tẽo yolgã tɩ pidi.,Bourre le sac avec le foin.
M tẽra a waoongã raare.,Je me souviens du jour de son arrivée.
A zomba weef n lʋɩ t'a nugã tẽremde.,Il est tombé du vélo et s'est cassé la main.
A lʋɩɩme t'a nug tẽrg tẽnga.,Il est tombé et son bras s'est rudement frotté au sol.
Wẽnnaam tɛɛ tõnd tɩ d tũ laafɩ sore.,Dieu guide nos pas dans le chemin de la paix.
"Noor wʋsgo, koambã bʋʋr yaa tɛba.",Les enfants sont souvent bruyants.
Woto yaa sõama.,Cela est bon.
"Koom sã n zoe n ta tãnga, a taa a tɛka.","Si l'eau coule jusqu'à la montagne, elle est arrivée à ses limites. (Proverbe: face à certaines situations que engendrent des désagréments alors que toutes les mesures son sont avérées inefficaces, il faut faire preuve de fermeté en durcissant les mesures.)"
B tii zãnde.,Ils ont dressé un hangar.
Weefã tibdame.,Le cheval piétine sur place.
Tib f meng la f yaool n tog sorã.,Prépare toi-même avant de voyager.
Sablg tiga.,Tout noir.
B tigda taab raagẽ.,Ils s'attroupent au marché.
Nebã tigma taab na-yirã n na n kelg koeese.,Les gens se sont réunis au palais royal pour écouter des discours.
Yẽ kosa tõnd tɩ d bas a t'a pʋgl tigsidbã n yiis ki.,Elle a demandé la permission de glaner derrière les moissonneurs.
Nebã tigsa taaba.,Les gens se sont réunis.
A baoo gõos n tiig langã tɩ rũms ra kẽ ye.,Il a clôturé son champ de coton avec des plantes épineuses pour que les animaux n'y rentrent pas.
A tiigame n tog sor n ka togs ned ba a ye.,Il est allé plus tôt que prévu faire un voyage sans dire à personne.
A yɩkame n tiimd tip.,Il a sauté et s'est ressaisi sur ses pieds.
"Yel-kãngã yaa yel-lingdim, ned ka bãng a tiir ye.","Cette chose est une surprise, personne ne le savait d'avance."
Surgã tiir wilgda roogã yalem.,La circonférence du toit rond montre la largeur de la case.
B zaa bõangã t'a tiisdẽ.,Ils ont entravé l'âne aux pieds qu'il saute à cloche pied.
Ra tiis maam tɩ mam yamã yɩɩda foo.,"Ne te joue pas avec moi, car je suis plus intelligent que toi."
"A tika bãmb ned kam fãa ne a nugu, n maag-ba.","Il imposait les mains à chacun d'eux, il les guérissait."
Tik f nugã tẽng n yiki.,Lève-toi en t'appuyant sur ta main.
Wʋk moodã n tik zĩ-yɛnga.,Ramasse l'herbe et rassemble-la à un seul endroit.
"Mam ka paam n bãng yellã tiki-takɩ, n tõe n togs yãmb ye.",Je n'ai pas compris exactement le problème pour pouvoir vous l'expliquer.
Wʋk-y raadã n gũms tikimd (tigim) zĩ-yende.,Ramassez les bois et mettez-les à un seul endroit.
A tilga a noosã.,Il a consigné ses poules dans une certaine circonférence.
A tilga mo-killã a zakẽ wã.,Il a mis les fagots de paille en position verticale dans sa cour.
Taa modgr tɩ m yalse.,C'est obligatoire que je m'arrête.
Bʋʋgã tirame.,La chèvre s'est arrêtée net.
Koambã tirsdame.,Les enfants sautillent.
"Koom sã n ka gudgi, a ka tisgd ye.","Si l'eau n'est pas troublé, elle ne peut pas se décanter."
Wʋlg n bas tɩ tĩ tɩ f yaool n yũ.,"Trempe dedans et laisse infuser, ensuite tu bois."
No-raoog tara tĩibri.,Un coq a un ergot.
A yaa sablg tĩma.,Il est tout noir.
Tĩng f naoorã tɩ yaa begdo.,Tape sur ton pied car il y en a de la boue.
Sʋʋgã noor tĩname n ka le tõe n wãag bũmb ye.,Le couteau s'est émoussé et il ne peut plus bien couper quelque chose.
Meoog n tar-a t'a tĩsdẽ.,Il a le rhume et éternue.
A waame tɩ d rɩ. Wa tɩ d kuli.,Il est venu pour que nous mangions. Viens que l'on parte.
A waame tɩ d rɩ.,Il est venu et nous avons mangé.
Dɩk n tɩ kɩse.,Prend aller donner.
A yeelame tɩ mobilã malgame.,Il a dit que la voiture est réparée.
A sẽn ki wã sasa t'a pagã ra tara pʋga.,Au moment de sa mort sa femme était enceinté.
Rapã kuilame tɩ pagbã watẽ.,Les hommes sont partis et les femmes arrivent.
Tɩ ges seb-va-nenga 45.,Voir à la page 45 (cf. p. 45)
B tɩbsa a bãagã tɩ sãooge.,Ils ont soigné le malade et ça va mieux.
A rɩɩme n tɩge.,Il a mangé et il est rassasié.
F zẽedã tɩg lɩʋʋ rũndã.,Ta sauce semble bien claire aujourd'hui.
Tɩgr vẽkembeoog yaa kom.,"Proverbe: Au lendemain de l'abondance, on souffre de faim."
Tɩgr geelg são a raare.,Égrener les jours qui nous séparent d'une fête vaut mieux que le jour même de la fête. (Proverbe: la fête semble n'avoir pas été à la hauteur des attentes. Ce qui donne l'impression que la joie qui anime chacun les jours d'avant fête étaient plus grande que la joie du jour de la fête.)
Tɩgs-y sãambã rɩɩb sõama tɩ b ra kuil ne kom ye.,Rassasiez bien les visiteurs afin qu'ils ne rentrent pas chez eux avec faim.
Ninsaal yaa a to tɩɩm.,"L'Homme est un remède pour l'Homme. (proverbe: quelle que soit la préoccupation à laquelle l'homme fait face, en s'ouvrant aux autres, ceux-ci lui permettront de trouver la solution à sa situation.)"
Yam soab n kʋʋd tɩɩm soaba.,"C'est celui qui est intelligent qui tue le détenteur du gri-gri. (Proverbe: pour avoir le dessus sur quelqu'un qui est plus fort que soi (financièrement, économiquement etc.) il faut utiliser plus d'intelligence, de ruse et d’expérience que lui.)"
"Pa yamleoog ye, ya tɩlass.","Ce n'est pas si on veut, c'est une obligation."
A tɩlga a yellã fãa.,Il est sorti de tous ses problèmes.
A kargã tɩrame n ka le tõe n gõd ye.,Sa jambe s'est raidi et ne peut plus se plier.
Ges lalgã yaa tɩrg bɩ a yaa golengo.,Regarde si le mur est droit ou s'il est tordu.
A zoeta Wẽnnaam la a maand tɩrlem.,Il craint Dieu et agit avec intégrité.
"La moasã, yãmb waoogda y mense tɩtaamã pʋgẽ. Tɩtaam a woto buud fãa yaa wẽnga.",Mais maintenant vous vous glorifiez dans votre présomption. Toute gloriole de ce genre est mauvaise.
A tara fu-neer sẽn ka toa.,Il a un joli habit qui n'a pas son semblable.
Pagã too ki wã.,La femme a pilé le mil.
Yaa woto to la maanda.,C'est comme ça que ça se passe.
"Ad yãmb sẽn tog n pʋʋs to-to: Tõnd ba sẽn be arzãnẽ, bɩ yãmb yʋʋrã paam waoogre.",Voici donc comment vous devez prier: Notre Père qui es aux cieux! Que ton nom soit sanctifié. 
"Bɩ y zoe, y sẽn na zoe to-to n paam keoore.",Courez donc de manière à remporter le prix.
Wẽnnaam naana tɩɩs sẽn womd b biis wa sẽn zems b buudã sẽn ya to-to dũniya zugu.,Dieu a crée des arbres fruitiers dont chaque espèce porte ses propres graines.
A paam laafɩ zĩig pʋgẽ to-to.,Elle avait été guérie à l'instant.
A geta maam toaa.,"Il me regard fixe, sans bouger."
Yaa nin-toaaga.,C'est une personne méchante.
Mam pʋʋgã toaag la woto.,Voilà la limite de mon champ.
Mam yaa koe-noogã toagsda.,Je suis le proclamateur de la bonne nouvelle.
Bãas buud toay-toay.,Différentes sortes de maladies.
B kɛɛ tɩɩgã t'a lebg n tobdẽ.,On avait coupé l'arbre mais il repousse.
Vã-tobengo.,Bourgeon de feuille.
Bao peend n tobl a kurgã tɩ lebga koɛɛga.,Allonge son pantalon avec du tissu car c'est devenu trop court.
A toda beoog n yik n tog sore.,Il s'est levé tôt le matin et est allé en voyage.
Todgẽ taang são taan-zaalle.,"Le karité sur la frontière de deux champs vaut mieux que le karité libre. (Proverbe: si quelqu'un se plaint de ses conditions de vie ou de travail qu'il trouve pénible, il oublie que d'autres personnes vivent des conditions encore pires que les siennes. Chacun doit être optimiste et garder l'espoir tout en travaillant à améliorer ses conditions de vie)"
A tɩ fãra toe-buls n na n dʋg zẽedo.,Elle est allé cueillir des feuilles jeunes de baobab pour mettre dans la sauce.
A kẽeme n na n toeem a futu.,Il est entré changer ses habits.
Toɛɛg zẽedo.,Sauce de feuilles de baobab.
A toga sore.,Il a voyagé.
Togame tɩ d waoog sãamba.,C'est approprié que nous honorons les étrangers.
A kẽnga pʋʋgã togelle.,Il est allé en direction du champ.
Baag yeelame tɩ sabg rɩta togem-togem.,Proverbe : Le chien dit que le tô se mange par affinité. (il faut avoir des bonnes relations pour avoir quelque chose)
A togenda koomã ne wamde.,Elle filtre l'eau avec une calebasse.
A togenda raagã sẽne.,Il se dirige vers le marché.
A togsda yellã.,Il raconte le problème.
Biigã togsda a ma.,L'enfant imite sa mère.
Koomã tokda bilf-bilfu.,L'eau goutte peu à peu.
Bãmb ka tol n maan yel-wẽnd ye.,Il n'a pas du tout fait un péché.
A tonda teed n wat n koosdẽ.,Il achète des marchandises en gros pour venir revendre.
A tola wɛɛngã võorẽ n yi.,Il a passé par un trou de mur et est sorti.
Yellã ka tolg n ya vẽeneg mam yamẽ wã ye.,Cette affaire n'est pas complètement claire dans ma compréhension.
Pĩirã yaa tolle.,La natte est perforée.
Yaa nin-yend n sel tɩɩsã sẽn tolem n tudã bɩ?,Est-ce qu’est une seule personne qui a planté les arbres d'une allée ? (Non.)
Rʋgdã tom-tom woto wã.,Les marmites sont empilées comme ça.
Kamaan-tomde. Kamaan-gĩndi.,Grappe de maïs.
A toma wĩirã.,Il a joint les bouts des cordes.
Lɩk n ges yaa bõe n tondã.,Regarde par une ouverture pour voir ce qui est visible en partie.
Yãmb tonga taab woto n dabd yɛ?,Où allez-vous alignés comme ça ?
B toogda koom.,Elles puisent de l'eau.
A tooga zoofã.,Elle casse une graine de néré.
A leba toaagã zug n toog bɩd-dulga.,Elle se met sur la frontière du champ et sème une rangée d'oseille.
Tɩ-toogo.,Médicament amer.
A yãa toog a bãagã wakato.,Il a connu la souffrance durant sa maladie.
A toog ka be ye!,Il n'est pas préoccupé de cela!
A toola biigã a karen-saambã nengẽ.,Il a commissionné un enfant pour aller chez l'enseignant.
Tɩ-kãngã toolmã yaa wʋsgo.,Ce médicament est très amer.
Sodom sɩbgrã toolem kõn ta tẽn‑kãng rẽndã ye.,Sodome sera traitée moins rigoureusement que cette ville-là.
"Tooll maagda naoor, la a pa maagd sũur ye.","Une commission fait qu'on ne doit pas aller soi-même, mais elle ne tranquillise pas le cœur. (proverbe)"
"Toom sã n tarẽ yõodo, kʋk raẽ-la yamba.","Si la méchanceté était bénéfique, le caïlcédrat se serait acheté un esclave. (proverbe disant: l'homme doit éviter d'être méchant envers ses semblables, si-non les gens l’éviteront et il sera isolé)"
Tooma liga wa kʋk paoko.,C'est amer comme l'écorce du caïlcédrat.
Rʋʋg-y teedã fãa toor-toore.,Déposez tous les outils séparément.
Ned toore.,Une autre personne.
Yaa mam meng m toore.,C'est moi-même en personne.
A toor kae ye.,Ce n'est pas sa préoccupation.
A wẽe lʋngã n torge.,Il a tapé sur le tambourin et l'a cassé.
Rɩk ninã tɩɩm n torg a nifẽ wã.,Prend les médicaments des yeux et met lui une goutte dans l’œil.
A torsa a nengã ne bugum t'a yã sorã.,Il dirige la lumière devant lui pour voir le chemin.
A tosa a yam.,Il a déversé sa colère.
Kaam n tosg a fuugã.,C'est de l'huile qui a goutté sur son vêtement.
Kur pẽt n tõaad a lʋgre.,"Qui est proche de la tortue, tire sur ses flancs. (Proverbe: on ne peut découvrir des secrets que lorsqu'on est proche et qu'on a des bonnes relations.)"
Wĩirã kaoo a tõakã zĩigẽ.,La corde est cassée à l'endroit de son nœud.
Nangur tõasg wakato.,Le temps de la récolte des arachides.
A tõbga biigã ne a nug-yẽesã t'a yãbda.,Il a pincé l'enfant avec ses ongles et il pelure.
A tõbga nanguri.,Il a pris un peu d'arachides.
Yaa tõd beoogo.,C'est tôt le matin.
A tõda mam noorã.,Il a refusé mon ordre.
Tõd-beoog tõta zaabre.,"Qui veut se lever tôt le matin, s'y prépare le soir. (Proverbe) "
A bẽedame n yaool tõdg t'a kõn vel tɩɩm ye.,Il est malade mais il refuse d'avaler des médicaments.
Wẽnd n tõe bũmb fãa.,Dieu peut faire toute chose.
Tõe tɩ saagã ni rũndã.,Il se peut qu'il pleut aujourd'hui.
A yaa gilg tõe.,C'est parfaitement rond
A tara raoog n tõgd rũmsã tɩ b kẽnda.,Il donne des coups avec la pointe de son bâton pour que les animaux marchent.
Fo weeg n mao n tõk-b ne taaba.,Essaye de les rapprocher les uns des autres.
Bao raoog n tõk bʋʋgã t'a kẽ a roogẽ.,Touche la chèvre avec le bout du bâton afin qu'elle entre dans son étable.
«Poko!» Tõmmaa!,« Poko !» « Oui !»
Tõnd koodã yaa sõama.,Nos récoltes sont bonnes.
Tõnd n so pʋʋgã.,C'est nous qui possédons le champ.
Yaa zɩʋsg tõo.,C'est très lourd.
A makame n pa tõog ye.,Il a essayé mais il n'a pas pu faire.
A gãda fuugã n tõog zĩis a yiibu.,Il a pris le tissu et l'a déchiré en deux parties.
A lʋɩɩme n kao tõr-tõre.,C'est tombé et cassé en mille morceaux.
Wĩntoogã ne yʋngã tõre.,Toute la journée et toute la nuit.
A tõrga raoogã.,Il a cassé le bois en le pliant contre le sol.
A lʋɩɩme t'a nengã tõrem tẽnga.,Il est tombé et a frotté son visage conte le sol.
Mangrã bɩɩme t'a tõsge.,La mangue a mûri et s'est arrachée (de l'arbre).
Yaa zĩ-kãngã tõsɩ.,C'est précisément cet endroit là.
Mang-tɩɩgã womame n tõsme.,Le manguier a produit des bons fruits en abondance.
A kẽnga nangur tõsre.,Il est allé faire la récolte des arachides.
A basa a meng n zĩnd tõss.,Il s'est laissé tomber lourdement dans la chaise.
Bi-kãngã yaa bi-tõtre.,Cet enfant est désobéissant.
A tuu boko.,Il a creusé un trou.
A tudga sore.,Il s'est trompé de route.
A rɩka no-raoogã n tud-a t'a reege.,Elle lui a présenté le coq pour qu'il le prenne.
A yika yibeoogẽ n tud raaga.,Il s'est levé le matin et s'est dirigé vers le marché.
A tugda beem ne-ma.,Il m'en veut.
A maan-a-la wẽng t'a tug-a.,Elle lui a fait du mal et il s'est vengé.
Reeg raoogã n tʋm n tugi.,Met le bâton dans le trou et approfondi-le.
A tuglga bugum.,Elle a allumé un feu.
Tuglg bãadã koomã t'a yũ.,Porte l'eau aux lèvres du malade pour qu'il puisse boire.
A tugla bugum n na n moe sagbo.,Elle a allumé un feu pour préparer le tô.
A baoo gaarg n tui kĩndi wã.,Elle a utilisé un fil et a enfilé les perles.
A tʋʋm-yaalsã tukda mam sũuri.,Ses actes stupides me font mal au cœur.
Bulg ka tukd raar a ye n paam koom ye.,Un puits ne se creuse pas dans un seul jour pour avoir de l'eau.
Raoogã tuka a lʋgrã.,Le bois / bâton a piqué son flanc.
B kẽe weoogã n tuk so-paalle.,Ils ont coupé des plantes en brousse pour frayer une nouvelle route.
A tuka wagdrã t'a baagd weefã ru.,Il a surpris le voleur en train d'enlever la roue du vélo.
"A zoeeme t'a vʋʋsmã tulgi. A zoeeme n ya, n vʋʋsd vʋʋs-tula.",Il a couru et il a perdu son souffle.
Tulg fuugã nenga.,Mets la chemise dans l'autre sens.
A ninga fuugã tulgumdi.,Il a mis la chemise à l'envers.
A kẽnda po-tulli.,Il marche a reculons.
Kambã gãee tulum-tulum,Les enfants sont couchés à l'envers.
A yeelga a fuugã tulumdi.,Il porte son habit à l'envers.
A turgda gɩgemde.,Il rencontre un lion à l'improviste.
A maaname tɩ moodã tur mam nodre.,Il a fait de sorte que la paille a touché ma plaie.
Neb tus‑tusa tigma taaba.,Les gens s'étant rassemblés par milliers.
Ned sã n dat n pãb a to a sɩngda tusga.,"Quand quelqu'un veut frapper un autre, il commence par le bousculer. (Proverbe: quand on n'en veut à quelqu'un, les provocations pour l'obliger à la bagarre ne manquent pas.)"
Tus weefã n serg la f bas weere.,Déplace le vélo pour laisser de la place.
Rʋg-vɩʋʋg bugum pa tusd ye.,"On n'attise pas le feu d'une marmite vide. (Proverbe: chaque fois que quelqu'un agit, c'est parce qu'il y trouvera son compte. Dans le cas contraire, il ne prendra aucun risque)"
